category,variable,seriesId,seriesName,multiplier,notes1,notes2
,Capacity|Electricity|Hydro,cap_gen_elep_NA_hyd_cnv_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Hydropower, United States",1,,
,Capacity|Electricity|Wind|Offshore,cap_gen_elep_NA_ofw_NA_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Offshore Wind, United States",1,,
,Capacity|Electricity|Wind|Onshore,cap_gen_elep_NA_ofw_NA_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Offshore Wind, United States",-1,total subtract out offshore,
,Capacity|Electricity|Solar|PV,cap_gen_elep_NA_slr_phtvl_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Photovoltaic, United States",1,,
,Capacity|Electricity|Solar|CSP,cap_gen_elep_NA_slr_therm_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Thermal, United States",1,,
,Capacity|Electricity|Biomass,cap_gen_elep_NA_wbm_NA_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Wood and Other Biomass, United States",1,,
,Capacity|Electricity|Geothermal,cap_gen_NA_NA_geothm_NA_NA_gw,"Renewable Energy : Electric Power Sector : Generating Capacity : Geothermal, United States",1,,
,Capacity|Electricity|Solar,cap_gen_NA_NA_slr_NA_NA_gw,"Renewable Energy : All Sectors : Generating Capacity : Solar, United States",1,,
,Capacity|Electricity|Wind,cap_gen_NA_NA_wnd_NA_NA_gw,"Renewable Energy : All Sectors : Generating Capacity : Wind, United States",1,,
,Capacity|Electricity|Wind|Onshore,cap_gen_NA_NA_wnd_NA_NA_gw,"Renewable Energy : All Sectors : Generating Capacity : Wind, United States",1,,
,Capacity|Electricity|Coal,cap_NA_elep_NA_cl_NA_NA_gw,"Electricity : Electric Power Sector : Capacity : Coal, United States",1,,
,Capacity|Electricity|Nuclear,cap_NA_elep_NA_nup_NA_NA_gw,"Electricity : Electric Power Sector : Capacity : Nuclear, United States",1,,
,Capacity|Electricity|Storage Capacity|PSH,cap_NA_elep_NA_pst_NA_NA_gw,"Electricity : Electric Power Sector : Capacity : Pumped Storage, United States",1,,
,Capacity|Electricity,cap_NA_elep_NA_tep_NA_usa_gw,Electricity Capacity : Total Electric Power Sector Capacity,1,,
,,cnsm_enu_alls_NA_cos_delv_NA_qbtu,"Energy Use : Delivered : All Sectors : Coal Subtotal, United States",1,add to EMF template?,Final Energy|Coal
,Final Energy,cnsm_enu_alls_NA_dele_delv_NA_qbtu,"Energy Use : Delivered : All Sectors : Delivered Energy, United States",1,,
,Final Energy|Electricity,cnsm_enu_alls_NA_elc_delv_NA_qbtu,"Energy Use : Delivered : All Sectors : Electricity, United States",1,,
,Final Energy|Buildings|Commercial|Electricity,cnsm_enu_comm_NA_elc_NA_NA_qbtu,"Energy Use : Commercial : Electricity, United States",1,,
,Final Energy|Buildings,cnsm_enu_comm_NA_tot_NA_NA_qbtu,"Energy Use : Commercial : Total, United States",1,,
,Final Energy|Buildings|Commercial,cnsm_enu_comm_NA_tot_NA_NA_qbtu,"Energy Use : Commercial : Total, United States",1,,
,Final Energy|Industry|Electricity,cnsm_enu_idal_NA_elc_NA_NA_qbtu,"Energy Use : Industrial : Electricity, United States",1,,
,,cnsm_enu_idal_NA_tot_NA_NA_qbtu,"Energy Use : Industrial : Total, United States",1,Version of final energy | industry that did not exclude refining energy consumption.,
,Final Energy|Buildings|Residential|Electricity,cnsm_enu_resd_NA_elc_NA_NA_qbtu,"Energy Use : Residential : Electricity, United States",1,,
,Final Energy|Buildings,cnsm_enu_resd_NA_tot_NA_NA_qbtu,"Energy Use : Residential : Total, United States",1,,
,Final Energy|Buildings|Residential,cnsm_enu_resd_NA_tot_NA_NA_qbtu,"Energy Use : Residential : Total, United States",1,,
,Primary Energy|Gas,cnsm_enu_ten_NA_ng_NA_NA_qbtu,"Energy Use : Total : Natural Gas, United States",1,,
,Final Energy|Transportation|Electricity,cnsm_enu_trn_NA_elc_NA_NA_qbtu,"Energy Use : Transportation : Electricity, United States",1,,
,Final Energy|Transportation,cnsm_enu_trn_NA_tot_NA_NA_qbtu,"Energy Use : Transportation : Total, United States",1,,
,Primary Energy|Hydro,cnsm_NA_elep_NA_hyd_cnv_NA_qbtu,Renewable Energy : Marketed Use : Electric Power : Hydropower,1,,
,Final Energy|Industry|Non Mfg|Construction|Oil,cnsm_NA_idal_cns_aro_NA_NA_trlbtu,Nonmanufacturing : Energy Use : Construction : Asphalt and Road Oil,-1,Remove oil for asphalt from construction,
,Final Energy|Industry|Coal,cnsm_NA_idal_idei_cos_NA_usa_qbtu,Industrial : Energy Use : Excluding Refining : Coal Subtotal,1,,
,Final Energy|Industry|Gas,cnsm_NA_idal_idei_ngs_NA_usa_qbtu,Industrial : Energy Use : Excluding Refining : Natural Gas Subtotal,1,,
,Final Energy|Industry|Oil,cnsm_NA_idal_idei_pet_NA_usa_qbtu,Industrial : Energy Use : Excluding Refining : Petroleum Subtotal,1,,
,Final Energy|Industry|Electricity,cnsm_NA_idal_idei_prc_NA_usa_qbtu,Industrial : Energy Use : Excluding Refining : Purchased Electricity,1,,
,Final Energy|Industry,cnsm_NA_idal_idei_tot_NA_usa_qbtu,Industrial : Energy Use : Excluding Refining : Total,1,,
,Final Energy|Industry|Non Mfg|Other mining|Gas,cnsm_NA_idal_ming_lsapfl_NA_NA_trlbtu,Nonmanufacturing : Energy Use : Mining : Lease and Plant Fuel,1,"Lease & plant fuel. Represents natural gas used in well, field, and lease operations, and in natural gas processing plant machinery.",
,Final Energy|Industry|Non Mfg|Other mining|Electricity,cnsm_NA_idal_ming_peo_NA_NA_trlbtu,Nonmanufacturing : Energy Use : Mining : Purchased Electricity excluding Oil Shale,1,Electricity in mining (not including oil shale),
,Final Energy|Industry|Non Mfg|Other mining|Electricity,cnsm_NA_idal_ming_pes_NA_NA_trlbtu,Nonmanufacturing : Energy Use : Mining : Purchased Electricity for Oil Shale,1,Electricity in mining (including oil shale),
,Primary Energy|Hydro,cnsm_NA_idal_NA_hyd_cnv_NA_qbtu,Renewable Energy : Marketed Use : Industrial : Hydropower,1,,
,Secondary Energy|Petroleum Refining|Input|Gas,cnsm_NA_idal_ref_ng_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Natural Gas,1,,
,Secondary Energy|Petroleum Refining|Input|Oil,cnsm_NA_idal_ref_pet_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Petroleum Subtotal,1,,
,Secondary Energy|Petroleum Refining|Input|Electricity,cnsm_NA_idal_ref_prc_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Purchased Electricity,1,,
,Secondary Energy|Petroleum Refining|Input|Coal,cnsm_NA_idal_ref_stc_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Steam Coal,1,,
,Secondary Energy|Petroleum Refining|Input,cnsm_NA_idal_ref_tot_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Total,1,,
,Primary Energy|Biomass,cnsm_use_ten_NA_bms_NA_usa_qbtu,Total Energy : Use : Biomass,1,,
,Primary Energy|Oil,cnsm_use_ten_NA_lfl_NA_usa_qbtu,Total Energy : Use : Liquid Fuels,1,,
,GDP|Consumption,eci_NA_NA_NA_gdp_rcnsp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Consumption,1,,
,GDP|MER,eci_NA_NA_NA_gdp_real_NA_blny09dlr,Macroeconomic Indicators : Real Gross Domestic Product,1,,
,GDP|Exports,eci_NA_NA_NA_gdp_rexp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Exports,1,,
,GDP|Government,eci_NA_NA_NA_gdp_rgsp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Government Spending,1,,
,GDP|Imports,eci_NA_NA_NA_gdp_rimp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Imports,1,,
,GDP|Investment,eci_NA_NA_NA_gdp_rinv_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Business Fixed Investment,1,,
,Emissions|CO2|Energy|Demand|Buildings|Indirect,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",1,add commercial and residential indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",1,,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",-1,subtract out com and res indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Commercial,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",-1,subtract out com indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_comm_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Commercial,1,,
,Emissions|CO2|Energy|Demand|Buildings|Commercial,emi_co2_comm_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Commercial,1,,
,Emissions|CO2|Energy|Supply|Electricity|Coal,emi_co2_elep_NA_cl_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Coal, United States",1,,
,Emissions|CO2|Energy|Supply|Electricity,emi_co2_elep_NA_NA_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Total, United States",1,,
,Emissions|CO2|Energy|Supply|Electricity|Gas,emi_co2_elep_NA_ng_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Natural Gas, United States",1,,
,,emi_co2_elep_NA_oth_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Other, United States",1,not in template,Emissions|CO2|Energy|Electricity|Other
,Emissions|CO2|Energy|Supply|Electricity|Oil,emi_co2_elep_NA_pet_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Petroleum, United States",1,,
,Emissions|CO2|Energy|Demand|Industry|Indirect,emi_co2_idal_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",1,,
,Emissions|CO2|Energy|Demand|Industry,emi_co2_idal_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",-1,subtract out ind indirect emissions,
,Emissions|CO2|Energy|Demand|Industry,emi_co2_idal_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Industrial,1,,
