Variable,Series_Name,Series_template,Factor,notes,notes_variable
Capacity|Electricity|Hydro,"Renewable Energy : Electric Power Sector : Generating Capacity : Hydropower, United States",cap_gen_elep_NA_hyd_cnv_NA_gw,1,,
Capacity|Electricity|Wind|Offshore,"Renewable Energy : Electric Power Sector : Generating Capacity : Offshore Wind, United States",cap_gen_elep_NA_ofw_NA_NA_gw,1,,
Capacity|Electricity|Wind|Onshore,"Renewable Energy : Electric Power Sector : Generating Capacity : Offshore Wind, United States",cap_gen_elep_NA_ofw_NA_NA_gw,-1,total subtract out offshore,
Capacity|Electricity|Solar|PV,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Photovoltaic, United States",cap_gen_elep_NA_slr_phtvl_NA_gw,1,,
Capacity|Electricity|Solar|CSP,"Renewable Energy : Electric Power Sector : Generating Capacity : Solar Thermal, United States",cap_gen_elep_NA_slr_therm_NA_gw,1,,
Capacity|Electricity|Biomass,"Renewable Energy : Electric Power Sector : Generating Capacity : Wood and Other Biomass, United States",cap_gen_elep_NA_wbm_NA_NA_gw,1,,
Capacity|Electricity|Geothermal,"Renewable Energy : Electric Power Sector : Generating Capacity : Geothermal, United States",cap_gen_NA_NA_geothm_NA_NA_gw,1,,
Capacity|Electricity|Solar,"Renewable Energy : All Sectors : Generating Capacity : Solar, United States",cap_gen_NA_NA_slr_NA_NA_gw,1,,
Capacity|Electricity|Wind,"Renewable Energy : All Sectors : Generating Capacity : Wind, United States",cap_gen_NA_NA_wnd_NA_NA_gw,1,,
Capacity|Electricity|Wind|Onshore,"Renewable Energy : All Sectors : Generating Capacity : Wind, United States",cap_gen_NA_NA_wnd_NA_NA_gw,1,,
Capacity|Electricity|Coal,"Electricity : Electric Power Sector : Capacity : Coal, United States",cap_NA_elep_NA_cl_NA_NA_gw,1,,
Capacity|Electricity|Nuclear,"Electricity : Electric Power Sector : Capacity : Nuclear, United States",cap_NA_elep_NA_nup_NA_NA_gw,1,,
Capacity|Electricity|Storage Capacity|PSH,"Electricity : Electric Power Sector : Capacity : Pumped Storage, United States",cap_NA_elep_NA_pst_NA_NA_gw,1,,
Capacity|Electricity,Electricity Capacity : Total Electric Power Sector Capacity,cap_NA_elep_NA_tep_NA_usa_gw,1,,
,"Energy Use : Delivered : All Sectors : Coal Subtotal, United States",cnsm_enu_alls_NA_cos_delv_NA_qbtu,1,add to EMF template?,Final Energy|Coal
Final Energy,"Energy Use : Delivered : All Sectors : Delivered Energy, United States",cnsm_enu_alls_NA_dele_delv_NA_qbtu,1,,
Final Energy|Electricity,"Energy Use : Delivered : All Sectors : Electricity, United States",cnsm_enu_alls_NA_elc_delv_NA_qbtu,1,,
Final Energy|Buildings|Commercial|Electricity,"Energy Use : Commercial : Electricity, United States",cnsm_enu_comm_NA_elc_NA_NA_qbtu,1,,
Final Energy|Buildings,"Energy Use : Commercial : Total, United States",cnsm_enu_comm_NA_tot_NA_NA_qbtu,1,,
Final Energy|Buildings|Commercial,"Energy Use : Commercial : Total, United States",cnsm_enu_comm_NA_tot_NA_NA_qbtu,1,,
Final Energy|Industry|Electricity,"Energy Use : Industrial : Electricity, United States",cnsm_enu_idal_NA_elc_NA_NA_qbtu,1,,
,"Energy Use : Industrial : Total, United States",cnsm_enu_idal_NA_tot_NA_NA_qbtu,1,Version of final energy | industry that did not exclude refining energy consumption.,
Final Energy|Buildings|Residential|Electricity,"Energy Use : Residential : Electricity, United States",cnsm_enu_resd_NA_elc_NA_NA_qbtu,1,,
Final Energy|Buildings,"Energy Use : Residential : Total, United States",cnsm_enu_resd_NA_tot_NA_NA_qbtu,1,,
Final Energy|Buildings|Residential,"Energy Use : Residential : Total, United States",cnsm_enu_resd_NA_tot_NA_NA_qbtu,1,,
Primary Energy|Gas,"Energy Use : Total : Natural Gas, United States",cnsm_enu_ten_NA_ng_NA_NA_qbtu,1,,
Final Energy|Transportation|Electricity,"Energy Use : Transportation : Electricity, United States",cnsm_enu_trn_NA_elc_NA_NA_qbtu,1,,
Final Energy|Transportation,"Energy Use : Transportation : Total, United States",cnsm_enu_trn_NA_tot_NA_NA_qbtu,1,,
Primary Energy|Hydro,Renewable Energy : Marketed Use : Electric Power : Hydropower,cnsm_NA_elep_NA_hyd_cnv_NA_qbtu,1,,
Final Energy|Industry|Non Mfg|Construction|Oil,Nonmanufacturing : Energy Use : Construction : Asphalt and Road Oil,cnsm_NA_idal_cns_aro_NA_NA_trlbtu,-1,Remove oil for asphalt from construction,
Final Energy|Industry|Coal,Industrial : Energy Use : Excluding Refining : Coal Subtotal,cnsm_NA_idal_idei_cos_NA_usa_qbtu,1,,
Final Energy|Industry|Gas,Industrial : Energy Use : Excluding Refining : Natural Gas Subtotal,cnsm_NA_idal_idei_ngs_NA_usa_qbtu,1,,
Final Energy|Industry|Oil,Industrial : Energy Use : Excluding Refining : Petroleum Subtotal,cnsm_NA_idal_idei_pet_NA_usa_qbtu,1,,
Final Energy|Industry|Electricity,Industrial : Energy Use : Excluding Refining : Purchased Electricity,cnsm_NA_idal_idei_prc_NA_usa_qbtu,1,,
Final Energy|Industry,Industrial : Energy Use : Excluding Refining : Total,cnsm_NA_idal_idei_tot_NA_usa_qbtu,1,,
Final Energy|Industry|Non Mfg|Other mining|Gas,Nonmanufacturing : Energy Use : Mining : Lease and Plant Fuel,cnsm_NA_idal_ming_lsapfl_NA_NA_trlbtu,1,"Lease & plant fuel. Represents natural gas used in well, field, and lease operations, and in natural gas processing plant machinery.",
Final Energy|Industry|Non Mfg|Other mining|Electricity,Nonmanufacturing : Energy Use : Mining : Purchased Electricity excluding Oil Shale,cnsm_NA_idal_ming_peo_NA_NA_trlbtu,1,Electricity in mining (not including oil shale),
Final Energy|Industry|Non Mfg|Other mining|Electricity,Nonmanufacturing : Energy Use : Mining : Purchased Electricity for Oil Shale,cnsm_NA_idal_ming_pes_NA_NA_trlbtu,1,Electricity in mining (including oil shale),
Primary Energy|Hydro,Renewable Energy : Marketed Use : Industrial : Hydropower,cnsm_NA_idal_NA_hyd_cnv_NA_qbtu,1,,
Secondary Energy|Petroleum Refining|Input|Gas,Refining Industry : Refinery Only Energy : Use : Natural Gas,cnsm_NA_idal_ref_ng_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input|Oil,Refining Industry : Refinery Only Energy : Use : Petroleum Subtotal,cnsm_NA_idal_ref_pet_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input|Electricity,Refining Industry : Refinery Only Energy : Use : Purchased Electricity,cnsm_NA_idal_ref_prc_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input|Coal,Refining Industry : Refinery Only Energy : Use : Steam Coal,cnsm_NA_idal_ref_stc_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input,Refining Industry : Refinery Only Energy : Use : Total,cnsm_NA_idal_ref_tot_NA_NA_trlbtu,1,,
Primary Energy|Biomass,Total Energy : Use : Biomass,cnsm_use_ten_NA_bms_NA_usa_qbtu,1,,
Primary Energy|Oil,Total Energy : Use : Liquid Fuels,cnsm_use_ten_NA_lfl_NA_usa_qbtu,1,,
GDP|Consumption,Macroeconomic Indicators : GDP Components : Real Consumption,eci_NA_NA_NA_gdp_rcnsp_NA_blny09dlr,1,,
GDP|MER,Macroeconomic Indicators : Real Gross Domestic Product,eci_NA_NA_NA_gdp_real_NA_blny09dlr,1,,
GDP|Exports,Macroeconomic Indicators : GDP Components : Real Exports,eci_NA_NA_NA_gdp_rexp_NA_blny09dlr,1,,
GDP|Government,Macroeconomic Indicators : GDP Components : Real Government Spending,eci_NA_NA_NA_gdp_rgsp_NA_blny09dlr,1,,
GDP|Imports,Macroeconomic Indicators : GDP Components : Real Imports,eci_NA_NA_NA_gdp_rimp_NA_blny09dlr,1,,
GDP|Investment,Macroeconomic Indicators : GDP Components : Real Business Fixed Investment,eci_NA_NA_NA_gdp_rinv_NA_blny09dlr,1,,
Emissions|CO2|Energy|Demand|Buildings|Indirect,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,1,add commercial and residential indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Buildings,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,-1,subtract out com and res indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Commercial,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,-1,subtract out com indirect emissions,
Emissions|CO2|Energy|Demand|Buildings,Carbon Dioxide : Commercial,emi_co2_comm_NA_NA_NA_NA_millmetnco2,1,,
